CountryCode,DisplayName,region,Level,ProjYear,PovertyLine,variable,value
AGO,Angola,SSA,National,1981,2.195249,HeadCount,0.2245993
AGO,Angola,SSA,National,1981,3.642544,HeadCount,0.4034561
AGO,Angola,SSA,National,1981,6.11676,HeadCount,0.6335288
AGO,Angola,SSA,National,1981,3.987638,HeadCount,0.436041
AGO,Angola,SSA,National,1981,5.943204,HeadCount,0.6230738
AGO,Angola,SSA,National,1981,2.308158,HeadCount,0.2361529
AGO,Angola,SSA,National,1984,2.195249,HeadCount,0.226041
AGO,Angola,SSA,National,1984,3.642544,HeadCount,0.4056526
AGO,Angola,SSA,National,1984,6.11676,HeadCount,0.6369286
AGO,Angola,SSA,National,1984,3.987638,HeadCount,0.440575
AGO,Angola,SSA,National,1984,5.943204,HeadCount,0.6254686
AGO,Angola,SSA,National,1984,2.308158,HeadCount,0.2390939
AGO,Angola,SSA,National,1987,2.195249,HeadCount,0.2268566
AGO,Angola,SSA,National,1987,3.642544,HeadCount,0.4064385
AGO,Angola,SSA,National,1987,6.11676,HeadCount,0.6380663
AGO,Angola,SSA,National,1987,3.987638,HeadCount,0.441714
AGO,Angola,SSA,National,1987,5.943204,HeadCount,0.6260324
AGO,Angola,SSA,National,1987,2.308158,HeadCount,0.2402512
AGO,Angola,SSA,National,1990,2.195249,HeadCount,0.2472441
AGO,Angola,SSA,National,1990,3.642544,HeadCount,0.4355648
AGO,Angola,SSA,National,1990,6.11676,HeadCount,0.6676666
AGO,Angola,SSA,National,1990,3.987638,HeadCount,0.4754156
AGO,Angola,SSA,National,1990,5.943204,HeadCount,0.6590085
AGO,Angola,SSA,National,1990,2.308158,HeadCount,0.2581165
AGO,Angola,SSA,National,1993,2.195249,HeadCount,0.4054314
AGO,Angola,SSA,National,1993,3.642544,HeadCount,0.6303951
AGO,Angola,SSA,National,1993,6.11676,HeadCount,0.8206221
AGO,Angola,SSA,National,1993,3.987638,HeadCount,0.6666987
AGO,Angola,SSA,National,1993,5.943204,HeadCount,0.8126554
AGO,Angola,SSA,National,1993,2.308158,HeadCount,0.4207409
AGO,Angola,SSA,National,1996,2.195249,HeadCount,0.3187046
AGO,Angola,SSA,National,1996,3.642544,HeadCount,0.5464154
AGO,Angola,SSA,National,1996,6.11676,HeadCount,0.7638639
AGO,Angola,SSA,National,1996,3.987638,HeadCount,0.5857249
AGO,Angola,SSA,National,1996,5.943204,HeadCount,0.7541325
AGO,Angola,SSA,National,1996,2.308158,HeadCount,0.3380934
AGO,Angola,SSA,National,1999,2.195249,HeadCount,0.3067086
AGO,Angola,SSA,National,1999,3.642544,HeadCount,0.5260873
AGO,Angola,SSA,National,1999,6.11676,HeadCount,0.7479507
AGO,Angola,SSA,National,1999,3.987638,HeadCount,0.5682018
AGO,Angola,SSA,National,1999,5.943204,HeadCount,0.736151
AGO,Angola,SSA,National,1999,2.308158,HeadCount,0.3235836
AGO,Angola,SSA,National,2002,2.195249,HeadCount,0.3155035
AGO,Angola,SSA,National,2002,3.642544,HeadCount,0.5299212
AGO,Angola,SSA,National,2002,6.11676,HeadCount,0.7471715
AGO,Angola,SSA,National,2002,3.987638,HeadCount,0.5703824
AGO,Angola,SSA,National,2002,5.943204,HeadCount,0.7371596
AGO,Angola,SSA,National,2002,2.308158,HeadCount,0.3347566
AGO,Angola,SSA,National,2005,2.195249,HeadCount,0.3177545
AGO,Angola,SSA,National,2005,3.642544,HeadCount,0.5432259
AGO,Angola,SSA,National,2005,6.11676,HeadCount,0.7605664
AGO,Angola,SSA,National,2005,3.987638,HeadCount,0.5824638
AGO,Angola,SSA,National,2005,5.943204,HeadCount,0.7483653
AGO,Angola,SSA,National,2005,2.308158,HeadCount,0.3368739
AGO,Angola,SSA,National,2008,2.195249,HeadCount,0.2633933
AGO,Angola,SSA,National,2008,3.642544,HeadCount,0.509292
AGO,Angola,SSA,National,2008,6.11676,HeadCount,0.7449703
AGO,Angola,SSA,National,2008,3.987638,HeadCount,0.5532817
AGO,Angola,SSA,National,2008,5.943204,HeadCount,0.7353589
AGO,Angola,SSA,National,2008,2.308158,HeadCount,0.2872968
AGO,Angola,SSA,National,2010,2.195249,HeadCount,0.2974412
AGO,Angola,SSA,National,2010,3.642544,HeadCount,0.5425589
AGO,Angola,SSA,National,2010,6.11676,HeadCount,0.7686923
AGO,Angola,SSA,National,2010,3.987638,HeadCount,0.5842097
AGO,Angola,SSA,National,2010,5.943204,HeadCount,0.7598998
AGO,Angola,SSA,National,2010,2.308158,HeadCount,0.3191624
AGO,Angola,SSA,National,2011,2.195249,HeadCount,0.3092012
AGO,Angola,SSA,National,2011,3.642544,HeadCount,0.5504289
AGO,Angola,SSA,National,2011,6.11676,HeadCount,0.7733891
AGO,Angola,SSA,National,2011,3.987638,HeadCount,0.5907286
AGO,Angola,SSA,National,2011,5.943204,HeadCount,0.7629045
AGO,Angola,SSA,National,2011,2.308158,HeadCount,0.3307369
AGO,Angola,SSA,National,2012,2.195249,HeadCount,0.3064329
AGO,Angola,SSA,National,2012,3.642544,HeadCount,0.5434055
AGO,Angola,SSA,National,2012,6.11676,HeadCount,0.7702055
AGO,Angola,SSA,National,2012,3.987638,HeadCount,0.5864494
AGO,Angola,SSA,National,2012,5.943204,HeadCount,0.7599744
AGO,Angola,SSA,National,2012,2.308158,HeadCount,0.3321175
AGO,Angola,SSA,National,2013,2.195249,HeadCount,0.3141034
AGO,Angola,SSA,National,2013,3.642544,HeadCount,0.548885
AGO,Angola,SSA,National,2013,6.11676,HeadCount,0.7711975
AGO,Angola,SSA,National,2013,3.987638,HeadCount,0.5904904
AGO,Angola,SSA,National,2013,5.943204,HeadCount,0.7613249
AGO,Angola,SSA,National,2013,2.308158,HeadCount,0.3384729
AGO,Angola,SSA,National,2015,2.195249,HeadCount,0.3492703
AGO,Angola,SSA,National,2015,3.642544,HeadCount,0.5764388
AGO,Angola,SSA,National,2015,6.11676,HeadCount,0.7865317
AGO,Angola,SSA,National,2015,3.987638,HeadCount,0.6152088
AGO,Angola,SSA,National,2015,5.943204,HeadCount,0.7774316
AGO,Angola,SSA,National,2015,2.308158,HeadCount,0.3722309
AGO,Angola,SSA,National,2018,2.195249,HeadCount,0.4491413
AGO,Angola,SSA,National,2018,3.642544,HeadCount,0.6716606
AGO,Angola,SSA,National,2018,6.11676,HeadCount,0.847721
AGO,Angola,SSA,National,2018,3.987638,HeadCount,0.7040532
AGO,Angola,SSA,National,2018,5.943204,HeadCount,0.8387121
AGO,Angola,SSA,National,2018,2.308158,HeadCount,0.471618
AGO,Angola,SSA,National,2019,2.195249,HeadCount,0.4670848
AGO,Angola,SSA,National,2019,3.642544,HeadCount,0.6850237
AGO,Angola,SSA,National,2019,6.11676,HeadCount,0.8600546
AGO,Angola,SSA,National,2019,3.987638,HeadCount,0.7175406
AGO,Angola,SSA,National,2019,5.943204,HeadCount,0.8514077
AGO,Angola,SSA,National,2019,2.308158,HeadCount,0.4868057
AGO,Angola,SSA,National,2020,2.195249,HeadCount,0.4828975
AGO,Angola,SSA,National,2020,3.642544,HeadCount,0.6980846
AGO,Angola,SSA,National,2020,6.11676,HeadCount,0.8684164
AGO,Angola,SSA,National,2020,3.987638,HeadCount,0.731791
AGO,Angola,SSA,National,2020,5.943204,HeadCount,0.8618449
AGO,Angola,SSA,National,2020,2.308158,HeadCount,0.5059711
AGO,Angola,SSA,National,2021,2.195249,HeadCount,0.4838001
AGO,Angola,SSA,National,2021,3.642544,HeadCount,0.7001438
AGO,Angola,SSA,National,2021,6.11676,HeadCount,0.8697554
AGO,Angola,SSA,National,2021,3.987638,HeadCount,0.7331214
AGO,Angola,SSA,National,2021,5.943204,HeadCount,0.8622331
AGO,Angola,SSA,National,2021,2.308158,HeadCount,0.507085
ALB,Albania,ECA,National,1981,2.195249,HeadCount,0.004079184
ALB,Albania,ECA,National,1981,3.642544,HeadCount,0.06604915
ALB,Albania,ECA,National,1981,6.11676,HeadCount,0.3318521
ALB,Albania,ECA,National,1981,3.987638,HeadCount,0.09920961
ALB,Albania,ECA,National,1981,5.943204,HeadCount,0.3131766
ALB,Albania,ECA,National,1981,2.308158,HeadCount,0.005067833
ALB,Albania,ECA,National,1984,2.195249,HeadCount,0.004645278
ALB,Albania,ECA,National,1984,3.642544,HeadCount,0.07548123
ALB,Albania,ECA,National,1984,6.11676,HeadCount,0.3597806
ALB,Albania,ECA,National,1984,3.987638,HeadCount,0.1090614
ALB,Albania,ECA,National,1984,5.943204,HeadCount,0.3340419
ALB,Albania,ECA,National,1984,2.308158,HeadCount,0.007408011
ALB,Albania,ECA,National,1987,2.195249,HeadCount,0.004645278
ALB,Albania,ECA,National,1987,3.642544,HeadCount,0.0741039
ALB,Albania,ECA,National,1987,6.11676,HeadCount,0.3563591
ALB,Albania,ECA,National,1987,3.987638,HeadCount,0.1084131
ALB,Albania,ECA,National,1987,5.943204,HeadCount,0.3325198
ALB,Albania,ECA,National,1987,2.308158,HeadCount,0.007408011
ALB,Albania,ECA,National,1990,2.195249,HeadCount,0.008623258
ALB,Albania,ECA,National,1990,3.642544,HeadCount,0.1064967
ALB,Albania,ECA,National,1990,6.11676,HeadCount,0.4139765
ALB,Albania,ECA,National,1990,3.987638,HeadCount,0.145408
ALB,Albania,ECA,National,1990,5.943204,HeadCount,0.3918162
ALB,Albania,ECA,National,1990,2.308158,HeadCount,0.01013405
ALB,Albania,ECA,National,1993,2.195249,HeadCount,0.04266188
ALB,Albania,ECA,National,1993,3.642544,HeadCount,0.2508144
ALB,Albania,ECA,National,1993,6.11676,HeadCount,0.6369736
ALB,Albania,ECA,National,1993,3.987638,HeadCount,0.3215503
ALB,Albania,ECA,National,1993,5.943204,HeadCount,0.624501
ALB,Albania,ECA,National,1993,2.308158,HeadCount,0.05227661
ALB,Albania,ECA,National,1996,2.195249,HeadCount,0.008381338
ALB,Albania,ECA,National,1996,3.642544,HeadCount,0.1014042
ALB,Albania,ECA,National,1996,6.11676,HeadCount,0.4066027
ALB,Albania,ECA,National,1996,3.987638,HeadCount,0.1347284
ALB,Albania,ECA,National,1996,5.943204,HeadCount,0.3774368
ALB,Albania,ECA,National,1996,2.308158,HeadCount,0.009605859
ALB,Albania,ECA,National,1999,2.195249,HeadCount,0.01137813
ALB,Albania,ECA,National,1999,3.642544,HeadCount,0.1154411
ALB,Albania,ECA,National,1999,6.11676,HeadCount,0.4305737
ALB,Albania,ECA,National,1999,3.987638,HeadCount,0.1509813
ALB,Albania,ECA,National,1999,5.943204,HeadCount,0.4114676
ALB,Albania,ECA,National,1999,2.308158,HeadCount,0.01441025
ALB,Albania,ECA,National,2002,2.195249,HeadCount,0.01399017
ALB,Albania,ECA,National,2002,3.642544,HeadCount,0.122548
ALB,Albania,ECA,National,2002,6.11676,HeadCount,0.4610395
ALB,Albania,ECA,National,2002,3.987638,HeadCount,0.1665519
ALB,Albania,ECA,National,2002,5.943204,HeadCount,0.4360139
ALB,Albania,ECA,National,2002,2.308158,HeadCount,0.01750609
ALB,Albania,ECA,National,2005,2.195249,HeadCount,0.007689312
ALB,Albania,ECA,National,2005,3.642544,HeadCount,0.07617401
ALB,Albania,ECA,National,2005,6.11676,HeadCount,0.3397124
ALB,Albania,ECA,National,2005,3.987638,HeadCount,0.1057162
ALB,Albania,ECA,National,2005,5.943204,HeadCount,0.314239
ALB,Albania,ECA,National,2005,2.308158,HeadCount,0.009544996
ALB,Albania,ECA,National,2008,2.195249,HeadCount,0.002132821
ALB,Albania,ECA,National,2008,3.642544,HeadCount,0.04314929
ALB,Albania,ECA,National,2008,6.11676,HeadCount,0.2651381
ALB,Albania,ECA,National,2008,3.987638,HeadCount,0.06536628
ALB,Albania,ECA,National,2008,5.943204,HeadCount,0.2466107
ALB,Albania,ECA,National,2008,2.308158,HeadCount,0.003268859
ALB,Albania,ECA,National,2010,2.195249,HeadCount,0.005248398
ALB,Albania,ECA,National,2010,3.642544,HeadCount,0.04161677
ALB,Albania,ECA,National,2010,6.11676,HeadCount,0.2669036
ALB,Albania,ECA,National,2010,3.987638,HeadCount,0.06579232
ALB,Albania,ECA,National,2010,5.943204,HeadCount,0.248741
ALB,Albania,ECA,National,2010,2.308158,HeadCount,0.006120623
ALB,Albania,ECA,National,2011,2.195249,HeadCount,0.006407848
ALB,Albania,ECA,National,2011,3.642544,HeadCount,0.04478237
ALB,Albania,ECA,National,2011,6.11676,HeadCount,0.2783601
ALB,Albania,ECA,National,2011,3.987638,HeadCount,0.066785
ALB,Albania,ECA,National,2011,5.943204,HeadCount,0.255522
ALB,Albania,ECA,National,2011,2.308158,HeadCount,0.007981276
ALB,Albania,ECA,National,2012,2.195249,HeadCount,0.007448903
ALB,Albania,ECA,National,2012,3.642544,HeadCount,0.05175951
ALB,Albania,ECA,National,2012,6.11676,HeadCount,0.3005631
ALB,Albania,ECA,National,2012,3.987638,HeadCount,0.0741834
ALB,Albania,ECA,National,2012,5.943204,HeadCount,0.2756098
ALB,Albania,ECA,National,2012,2.308158,HeadCount,0.009975285
ALB,Albania,ECA,National,2013,2.195249,HeadCount,0.01150426
ALB,Albania,ECA,National,2013,3.642544,HeadCount,0.08183998
ALB,Albania,ECA,National,2013,6.11676,HeadCount,0.3182897
ALB,Albania,ECA,National,2013,3.987638,HeadCount,0.1083081
ALB,Albania,ECA,National,2013,5.943204,HeadCount,0.2997873
ALB,Albania,ECA,National,2013,2.308158,HeadCount,0.01395629
ALB,Albania,ECA,National,2015,2.195249,HeadCount,0.008277839
ALB,Albania,ECA,National,2015,3.642544,HeadCount,0.0753593
ALB,Albania,ECA,National,2015,6.11676,HeadCount,0.3039846
ALB,Albania,ECA,National,2015,3.987638,HeadCount,0.1003979
ALB,Albania,ECA,National,2015,5.943204,HeadCount,0.2879454
ALB,Albania,ECA,National,2015,2.308158,HeadCount,0.01175597
ALB,Albania,ECA,National,2018,2.195249,HeadCount,0.008687419
ALB,Albania,ECA,National,2018,3.642544,HeadCount,0.06319358
ALB,Albania,ECA,National,2018,6.11676,HeadCount,0.2789183
ALB,Albania,ECA,National,2018,3.987638,HeadCount,0.08423862
ALB,Albania,ECA,National,2018,5.943204,HeadCount,0.263197
ALB,Albania,ECA,National,2018,2.308158,HeadCount,0.01218212
ALB,Albania,ECA,National,2019,2.195249,HeadCount,0.008093579
ALB,Albania,ECA,National,2019,3.642544,HeadCount,0.05731141
ALB,Albania,ECA,National,2019,6.11676,HeadCount,0.2697073
ALB,Albania,ECA,National,2019,3.987638,HeadCount,0.0789841
ALB,Albania,ECA,National,2019,5.943204,HeadCount,0.2545026
ALB,Albania,ECA,National,2019,2.308158,HeadCount,0.0113801
ALB,Albania,ECA,National,2020,2.195249,HeadCount,0.01111379
ALB,Albania,ECA,National,2020,3.642544,HeadCount,0.06822853
ALB,Albania,ECA,National,2020,6.11676,HeadCount,0.2934131
ALB,Albania,ECA,National,2020,3.987638,HeadCount,0.09298624
ALB,Albania,ECA,National,2020,5.943204,HeadCount,0.2775776
ALB,Albania,ECA,National,2020,2.308158,HeadCount,0.01384854
ALB,Albania,ECA,National,2021,2.195249,HeadCount,0.007169419
ALB,Albania,ECA,National,2021,3.642544,HeadCount,0.05386275
ALB,Albania,ECA,National,2021,6.11676,HeadCount,0.2565993
ALB,Albania,ECA,National,2021,3.987638,HeadCount,0.07329346
ALB,Albania,ECA,National,2021,5.943204,HeadCount,0.2384212
ALB,Albania,ECA,National,2021,2.308158,HeadCount,0.008799503
ARE,United Arab Emirates,OHI,National,1981,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,1981,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,1981,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,1981,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,1981,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,1981,2.308158,HeadCount,0
ARE,United Arab Emirates,OHI,National,1984,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,1984,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,1984,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,1984,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,1984,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,1984,2.308158,HeadCount,0
ARE,United Arab Emirates,OHI,National,1987,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,1987,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,1987,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,1987,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,1987,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,1987,2.308158,HeadCount,0
ARE,United Arab Emirates,OHI,National,1990,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,1990,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,1990,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,1990,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,1990,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,1990,2.308158,HeadCount,0
ARE,United Arab Emirates,OHI,National,1993,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,1993,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,1993,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,1993,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,1993,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,1993,2.308158,HeadCount,0
ARE,United Arab Emirates,OHI,National,1996,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,1996,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,1996,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,1996,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,1996,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,1996,2.308158,HeadCount,0
ARE,United Arab Emirates,OHI,National,1999,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,1999,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,1999,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,1999,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,1999,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,1999,2.308158,HeadCount,0
ARE,United Arab Emirates,OHI,National,2002,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,2002,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,2002,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,2002,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,2002,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,2002,2.308158,HeadCount,0
ARE,United Arab Emirates,OHI,National,2005,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,2005,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,2005,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,2005,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,2005,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,2005,2.308158,HeadCount,0
ARE,United Arab Emirates,OHI,National,2008,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,2008,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,2008,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,2008,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,2008,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,2008,2.308158,HeadCount,0
ARE,United Arab Emirates,OHI,National,2010,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,2010,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,2010,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,2010,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,2010,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,2010,2.308158,HeadCount,0
ARE,United Arab Emirates,OHI,National,2011,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,2011,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,2011,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,2011,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,2011,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,2011,2.308158,HeadCount,0
ARE,United Arab Emirates,OHI,National,2012,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,2012,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,2012,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,2012,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,2012,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,2012,2.308158,HeadCount,0
ARE,United Arab Emirates,OHI,National,2013,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,2013,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,2013,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,2013,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,2013,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,2013,2.308158,HeadCount,0
ARE,United Arab Emirates,OHI,National,2015,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,2015,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,2015,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,2015,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,2015,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,2015,2.308158,HeadCount,0
ARE,United Arab Emirates,OHI,National,2018,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,2018,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,2018,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,2018,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,2018,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,2018,2.308158,HeadCount,0
ARE,United Arab Emirates,OHI,National,2019,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,2019,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,2019,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,2019,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,2019,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,2019,2.308158,HeadCount,0
ARE,United Arab Emirates,OHI,National,2020,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,2020,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,2020,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,2020,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,2020,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,2020,2.308158,HeadCount,0
ARE,United Arab Emirates,OHI,National,2021,2.195249,HeadCount,0
ARE,United Arab Emirates,OHI,National,2021,3.642544,HeadCount,0
ARE,United Arab Emirates,OHI,National,2021,6.11676,HeadCount,0
ARE,United Arab Emirates,OHI,National,2021,3.987638,HeadCount,0
ARE,United Arab Emirates,OHI,National,2021,5.943204,HeadCount,0
ARE,United Arab Emirates,OHI,National,2021,2.308158,HeadCount,0
ARG,Argentina,LAC,National,1981,2.195249,HeadCount,0.06446267
ARG,Argentina,LAC,National,1981,3.642544,HeadCount,0.184953
ARG,Argentina,LAC,National,1981,6.11676,HeadCount,0.3947605
ARG,Argentina,LAC,National,1981,3.987638,HeadCount,0.2152145
ARG,Argentina,LAC,National,1981,5.943204,HeadCount,0.3806275
ARG,Argentina,LAC,National,1981,2.308158,HeadCount,0.07292935
ARG,Argentina,LAC,National,1984,2.195249,HeadCount,0.05410195
ARG,Argentina,LAC,National,1984,3.642544,HeadCount,0.1650608
ARG,Argentina,LAC,National,1984,6.11676,HeadCount,0.3617819
ARG,Argentina,LAC,National,1984,3.987638,HeadCount,0.1927672
ARG,Argentina,LAC,National,1984,5.943204,HeadCount,0.3483247
ARG,Argentina,LAC,National,1984,2.308158,HeadCount,0.0621841
ARG,Argentina,LAC,National,1987,2.195249,HeadCount,0.08663145
ARG,Argentina,LAC,National,1987,3.642544,HeadCount,0.2120613
ARG,Argentina,LAC,National,1987,6.11676,HeadCount,0.4205557
ARG,Argentina,LAC,National,1987,3.987638,HeadCount,0.2422571
ARG,Argentina,LAC,National,1987,5.943204,HeadCount,0.4068816
ARG,Argentina,LAC,National,1987,2.308158,HeadCount,0.09621692
ARG,Argentina,LAC,National,1990,2.195249,HeadCount,0.1575971
ARG,Argentina,LAC,National,1990,3.642544,HeadCount,0.3623056
ARG,Argentina,LAC,National,1990,6.11676,HeadCount,0.6246896
ARG,Argentina,LAC,National,1990,3.987638,HeadCount,0.4054149
ARG,Argentina,LAC,National,1990,5.943204,HeadCount,0.6013073
ARG,Argentina,LAC,National,1990,2.308158,HeadCount,0.1750377
ARG,Argentina,LAC,National,1993,2.195249,HeadCount,0.1531866
ARG,Argentina,LAC,National,1993,3.642544,HeadCount,0.3278671
ARG,Argentina,LAC,National,1993,6.11676,HeadCount,0.580364
ARG,Argentina,LAC,National,1993,3.987638,HeadCount,0.3720263
ARG,Argentina,LAC,National,1993,5.943204,HeadCount,0.5643108
ARG,Argentina,LAC,National,1993,2.308158,HeadCount,0.1689997
ARG,Argentina,LAC,National,1996,2.195249,HeadCount,0.2255788
ARG,Argentina,LAC,National,1996,3.642544,HeadCount,0.4222458
ARG,Argentina,LAC,National,1996,6.11676,HeadCount,0.6486475
ARG,Argentina,LAC,National,1996,3.987638,HeadCount,0.4604261
ARG,Argentina,LAC,National,1996,5.943204,HeadCount,0.6435839
ARG,Argentina,LAC,National,1996,2.308158,HeadCount,0.2325505
ARG,Argentina,LAC,National,1999,2.195249,HeadCount,0.2443287
ARG,Argentina,LAC,National,1999,3.642544,HeadCount,0.4406163
ARG,Argentina,LAC,National,1999,6.11676,HeadCount,0.6615796
ARG,Argentina,LAC,National,1999,3.987638,HeadCount,0.4752442
ARG,Argentina,LAC,National,1999,5.943204,HeadCount,0.6557724
ARG,Argentina,LAC,National,1999,2.308158,HeadCount,0.2525254
ARG,Argentina,LAC,National,2002,2.195249,HeadCount,0.4553284
ARG,Argentina,LAC,National,2002,3.642544,HeadCount,0.6638408
ARG,Argentina,LAC,National,2002,6.11676,HeadCount,0.8199845
ARG,Argentina,LAC,National,2002,3.987638,HeadCount,0.6922029
ARG,Argentina,LAC,National,2002,5.943204,HeadCount,0.8131366
ARG,Argentina,LAC,National,2002,2.308158,HeadCount,0.4694761
ARG,Argentina,LAC,National,2005,2.195249,HeadCount,0.2170424
ARG,Argentina,LAC,National,2005,3.642544,HeadCount,0.3932466
ARG,Argentina,LAC,National,2005,6.11676,HeadCount,0.6161499
ARG,Argentina,LAC,National,2005,3.987638,HeadCount,0.4314874
ARG,Argentina,LAC,National,2005,5.943204,HeadCount,0.6039027
ARG,Argentina,LAC,National,2005,2.308158,HeadCount,0.2319544
ARG,Argentina,LAC,National,2008,2.195249,HeadCount,0.1498121
ARG,Argentina,LAC,National,2008,3.642544,HeadCount,0.3009598
ARG,Argentina,LAC,National,2008,6.11676,HeadCount,0.5211119
ARG,Argentina,LAC,National,2008,3.987638,HeadCount,0.3367829
ARG,Argentina,LAC,National,2008,5.943204,HeadCount,0.5085763
ARG,Argentina,LAC,National,2008,2.308158,HeadCount,0.1607574
ARG,Argentina,LAC,National,2010,2.195249,HeadCount,0.1299202
ARG,Argentina,LAC,National,2010,3.642544,HeadCount,0.2711439
ARG,Argentina,LAC,National,2010,6.11676,HeadCount,0.4802154
ARG,Argentina,LAC,National,2010,3.987638,HeadCount,0.3052979
